Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,459.11,459.48,448.35,453.62,19253700,453.62
2013-01-31,456.98,459.28,454.98,455.49,11404800,455.49
2013-01-30,457.0,462.6,454.5,456.83,14898400,456.83
2013-01-29,458.5,460.2,452.12,458.27,20398500,458.27
2013-01-28,437.83,453.21,435.86,449.83,28054200,449.83
2013-01-25,451.69,456.23,435.0,439.88,43143800,439.88
2013-01-24,460.0,465.73,450.25,450.5,52173300,450.5
2013-01-23,508.81,514.99,504.77,514.01,30768200,514.01
2013-01-22,504.56,507.88,496.63,504.77,16483800,504.77
2013-01-18,498.52,502.22,496.4,500.0,16890100,500.0
2013-01-17,510.31,510.75,502.03,502.68,16202800,502.68
2013-01-16,494.64,509.44,492.5,506.09,24671600,506.09
2013-01-15,498.3,498.99,483.38,485.92,31313300,485.92
2013-01-14,502.68,507.5,498.51,501.75,26221700,501.75
2013-01-11,521.0,525.32,519.02,520.3,12518100,520.3
2013-01-10,528.55,528.72,515.52,523.51,21469500,523.51
2013-01-09,522.5,525.01,515.99,517.1,14557300,517.1
2013-01-08,529.21,531.89,521.25,525.31,16382400,525.31
2013-01-07,522.0,529.3,515.2,523.9,17291300,523.9
2013-01-04,536.97,538.63,525.83,527.0,21226200,527.0
2013-01-03,547.88,549.67,541.0,542.1,12605900,542.1
2013-01-02,553.82,555.0,541.63,549.03,20018500,549.03
2012-12-31,510.53,535.4,509.0,532.17,23553300,532.17
2012-12-28,510.29,514.48,508.12,509.59,12652800,509.59
2012-12-27,513.54,516.25,504.66,515.06,16254300,515.06
2012-12-26,519.0,519.46,511.12,513.0,10801300,513.0
2012-12-24,520.35,524.25,518.71,520.17,6276900,520.17
2012-12-21,512.47,519.67,510.24,519.33,21295300,519.33
2012-12-20,530.0,530.2,518.88,521.73,17203200,521.73
2012-12-19,531.47,533.7,525.5,526.31,16048900,526.31
2012-12-18,525.0,534.9,520.25,533.9,22345900,533.9
2012-12-17,508.93,520.0,501.23,518.83,27057400,518.83
2012-12-14,514.75,518.13,505.58,509.79,36056400,509.79
2012-12-13,531.15,537.64,525.8,529.69,22330700,529.69
2012-12-12,547.77,548.0,536.27,539.0,17398000,539.0
2012-12-11,539.77,549.56,537.37,541.39,21155200,541.39
2012-12-10,525.0,538.51,521.58,529.82,22517300,529.82
2012-12-07,553.4,555.2,530.0,533.25,28108600,533.25
2012-12-06,528.94,553.31,518.63,547.24,42043300,547.24
2012-12-05,568.91,569.25,538.77,538.79,37308500,538.79
2012-12-04,581.8,581.8,572.13,575.85,19895300,575.85
2012-12-03,593.65,594.59,585.5,586.19,13010000,586.19
2012-11-30,586.79,588.4,582.68,585.28,13975700,585.28
2012-11-29,590.22,594.25,585.25,589.36,18382100,589.36
2012-11-28,577.27,585.8,572.26,582.94,18602300,582.94
2012-11-27,589.55,590.42,580.1,584.78,19047500,584.78
2012-11-26,575.9,590.0,573.71,589.53,22520700,589.53
2012-11-23,567.17,572.0,562.6,571.5,9743800,571.5
2012-11-21,564.25,567.37,556.6,561.7,13321500,561.7
2012-11-20,571.91,571.95,554.58,560.91,22955500,560.91
2012-11-19,540.71,567.5,539.88,565.73,29404200,565.73
2012-11-16,525.2,530.0,505.75,527.68,45246200,527.68
2012-11-15,537.53,539.5,522.62,525.62,28211100,525.62
2012-11-14,545.5,547.45,536.18,536.88,17041800,536.88
2012-11-13,538.91,550.48,536.36,542.9,19033900,542.9
2012-11-12,554.15,554.5,538.65,542.83,18421500,542.83
