Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,27.67,28.05,27.55,27.93,55565900,27.93
2013-01-31,27.79,27.97,27.4,27.45,50530000,27.45
2013-01-30,28.01,28.19,27.76,27.85,43580500,27.85
2013-01-29,27.82,28.13,27.6,28.01,49242600,28.01
2013-01-28,28.01,28.23,27.76,27.91,56056500,27.91
2013-01-25,27.58,28.23,27.39,27.88,81847700,27.88
2013-01-24,27.7,28.07,27.47,27.63,101739300,27.63
2013-01-23,27.2,27.64,27.2,27.61,50387700,27.61
2013-01-22,27.3,27.45,27.0,27.15,58650600,27.15
2013-01-18,27.1,27.29,27.04,27.25,52167700,27.25
2013-01-17,27.19,27.47,27.06,27.25,51685900,27.25
2013-01-16,27.15,27.23,27.01,27.04,41077400,27.04
2013-01-15,26.83,27.29,26.83,27.21,48244500,27.21
2013-01-14,26.9,27.08,26.76,26.89,48324400,26.89
2013-01-11,26.49,26.93,26.28,26.83,55512100,26.83
2013-01-10,26.65,26.98,26.29,26.46,71431300,26.46
2013-01-09,26.72,26.75,26.56,26.7,49047900,26.7
2013-01-08,26.75,26.79,26.46,26.55,44703100,26.55
2013-01-07,26.77,26.88,26.64,26.69,37110400,26.69
2013-01-04,27.27,27.34,26.73,26.74,52521100,26.74
2013-01-03,27.63,27.65,27.16,27.25,48294400,27.25
2013-01-02,27.25,27.73,27.15,27.62,52899300,27.62
2012-12-31,26.59,26.77,26.37,26.71,42749500,26.71
2012-12-28,26.71,26.9,26.55,26.55,28239900,26.55
2012-12-27,26.89,27.09,26.57,26.96,39394000,26.96
2012-12-26,27.03,27.2,26.7,26.86,31631100,26.86
2012-12-24,27.2,27.25,27.0,27.06,20842400,27.06
2012-12-21,27.45,27.49,27.0,27.45,98776500,27.45
2012-12-20,27.36,27.68,27.15,27.68,52607300,27.68
2012-12-19,27.69,27.73,27.25,27.31,53519900,27.31
2012-12-18,27.25,27.63,27.14,27.56,50486900,27.56
2012-12-17,26.79,27.22,26.68,27.1,42046100,27.1
2012-12-14,27.11,27.13,26.7,26.81,42077500,26.81
2012-12-13,27.32,27.52,26.95,27.11,45080100,27.11
2012-12-12,27.53,27.62,27.08,27.24,43966300,27.24
2012-12-11,27.05,27.49,27.05,27.32,52282800,27.32
2012-12-10,26.56,26.97,26.52,26.94,47031100,26.94
2012-12-07,26.82,26.82,26.37,26.46,46162100,26.46
2012-12-06,26.81,26.98,26.61,26.73,39182300,26.73
2012-12-05,26.38,26.93,26.26,26.67,68283800,26.67
2012-12-04,26.5,26.63,26.34,26.37,49777500,26.37
2012-12-03,26.78,26.82,26.4,26.43,53173800,26.43
2012-11-30,27.05,27.13,26.49,26.62,83690200,26.62
2012-11-29,27.11,27.36,26.86,26.95,69551400,26.95
2012-11-28,27.01,27.39,26.77,27.36,53018400,27.36
2012-11-27,27.36,27.38,27.04,27.08,45018600,27.08
2012-11-26,27.54,27.58,27.17,27.39,85198700,27.39
2012-11-23,27.23,27.77,27.2,27.7,57845700,27.7
2012-11-21,26.71,27.17,26.67,26.95,66360300,26.95
2012-11-20,26.76,26.8,26.46,26.71,47070400,26.71
2012-11-19,26.8,26.8,26.47,26.73,57179300,26.73
2012-11-16,26.67,26.7,26.34,26.52,64083300,26.52
2012-11-15,26.88,26.97,26.63,26.66,50955600,26.66
2012-11-14,27.24,27.29,26.8,26.84,76086100,26.84
2012-11-13,27.02,27.3,26.75,27.09,131689200,27.09
2012-11-12,28.94,29.01,28.21,28.22,61112300,27.99
2012-11-09,28.88,29.19,28.81,28.83,43291200,28.6
2012-11-08,29.12,29.37,28.8,28.81,49841800,28.58
2012-11-07,29.53,29.83,29.05,29.08,57871800,28.84
2012-11-06,29.82,30.2,29.61,29.86,43401500,29.62
2012-11-05,29.62,29.74,29.33,29.63,38070800,29.39
2012-11-02,29.59,29.77,29.33,29.5,57131600,29.26
2012-11-01,28.84,29.56,28.82,29.52,72047900,29.28
2012-10-31,28.55,28.88,28.5,28.54,69464100,28.31
2012-10-26,27.86,28.34,27.84,28.21,57790000,27.98
2012-10-25,28.19,28.2,27.86,27.88,54084300,27.65
2012-10-24,28.16,28.2,27.87,27.9,53320400,27.67
2012-10-23,27.77,28.2,27.76,28.05,64414800,27.82
2012-10-22,28.73,28.83,27.83,28.0,83374000,27.77
2012-10-19,29.05,29.08,28.5,28.64,90470800,28.41
2012-10-18,29.65,29.73,29.26,29.5,59238500,29.26
2012-10-17,29.3,29.64,29.09,29.59,44206100,29.35
2012-10-16,29.45,29.74,29.32,29.49,47739400,29.25
2012-10-15,29.37,29.72,29.25,29.51,42440200,29.27
2012-10-12,28.97,29.32,28.8,29.2,46464700,28.96
2012-10-11,29.22,29.25,28.87,28.95,41488500,28.71
2012-10-10,29.15,29.31,28.95,28.98,47227100,28.74
2012-10-09,29.68,29.74,29.18,29.28,45121100,29.04
2012-10-08,29.64,29.92,29.55,29.78,29752000,29.54
2012-10-05,30.23,30.25,29.74,29.85,41133900,29.61
2012-10-04,29.97,30.03,29.57,30.03,43634900,29.79
2012-10-03,29.75,29.99,29.67,29.86,46655900,29.62
2012-10-02,29.68,29.89,29.5,29.66,43338900,29.42
2012-10-01,29.81,29.98,29.42,29.49,54042700,29.25
2012-09-28,30.18,30.26,29.74,29.76,54229300,29.52
2012-09-27,30.17,30.4,29.89,30.16,47129900,29.91
2012-09-26,30.28,30.6,30.04,30.17,54672000,29.92
2012-09-25,30.95,31.0,30.36,30.39,54266400,30.14
2012-09-24,31.0,31.07,30.64,30.78,46825900,30.53
2012-09-21,31.43,31.61,31.09,31.19,102348900,30.94
2012-09-20,30.95,31.48,30.91,31.45,45543000,31.19
2012-09-19,31.09,31.19,31.04,31.05,48871900,30.8
2012-09-18,31.1,31.21,31.03,31.18,34542700,30.93
2012-09-17,31.19,31.26,31.04,31.21,36488500,30.96
2012-09-14,31.01,31.25,30.81,31.21,51422800,30.96
2012-09-13,30.89,31.18,30.4,30.94,45047300,30.69
2012-09-12,30.94,31.18,30.73,30.78,32775800,30.53
2012-09-11,30.69,30.91,30.61,30.79,25191800,30.54
2012-09-10,30.83,30.9,30.51,30.72,40524000,30.47
2012-09-07,31.04,31.07,30.73,30.95,42649100,30.7
2012-09-06,30.5,31.36,30.46,31.35,48371700,31.09
2012-09-05,30.22,30.53,30.21,30.39,33650000,30.14
2012-09-04,30.45,30.66,30.15,30.39,48556700,30.14
2012-08-31,30.6,30.96,30.38,30.82,36590100,30.57
2012-08-30,30.53,30.61,30.22,30.32,23982100,30.07
2012-08-29,30.65,30.75,30.44,30.65,23346800,30.4
2012-08-28,30.7,30.8,30.52,30.63,23947900,30.38
2012-08-27,30.93,30.96,30.59,30.69,34691100,30.44
2012-08-24,30.25,30.63,30.18,30.56,22943300,30.31
2012-08-23,30.39,30.4,30.08,30.26,28355600,30.01
2012-08-22,30.59,30.76,30.47,30.54,33437400,30.29
2012-08-21,30.76,30.96,30.61,30.8,28822700,30.55
2012-08-20,30.82,30.85,30.58,30.74,23737700,30.49
2012-08-17,30.92,30.92,30.59,30.9,32589900,30.65
2012-08-16,30.36,30.94,30.26,30.78,35787200,30.53
2012-08-15,30.11,30.28,30.02,30.2,24351000,29.95
2012-08-14,30.3,30.39,30.01,30.13,34551400,29.88
2012-08-13,30.35,30.46,30.16,30.39,23049100,29.94
2012-08-10,30.5,30.62,30.25,30.42,27810300,29.97
2012-08-09,30.39,30.65,30.3,30.5,24920800,30.05
2012-08-08,30.21,30.47,30.11,30.33,26257600,29.88
2012-08-07,30.07,30.35,29.87,30.26,28002900,29.82
2012-08-06,30.0,30.11,29.81,29.95,27471800,29.51
2012-08-03,29.53,29.94,29.48,29.75,35859400,29.31
2012-08-02,29.21,29.53,28.97,29.19,39520500,28.76
2012-08-01,29.59,29.65,29.21,29.41,31721800,28.98
2012-07-31,29.48,29.71,29.33,29.47,37620900,29.04
2012-07-30,29.75,29.82,29.46,29.64,28905000,29.2
2012-07-27,29.48,29.85,29.18,29.76,44242600,29.32
2012-07-26,29.23,29.5,29.09,29.16,45301400,28.73
2012-07-25,29.24,29.33,28.78,28.83,45579500,28.41
2012-07-24,29.24,29.36,28.9,29.15,47723300,28.72
2012-07-23,29.57,29.58,29.01,29.28,55151900,28.85
2012-07-20,31.0,31.05,30.05,30.12,64021700,29.68
2012-07-19,30.51,30.8,30.38,30.67,46663200,30.22
2012-07-18,29.6,30.45,29.46,30.45,41090400,30.0
2012-07-17,29.64,29.86,29.2,29.66,33771300,29.22
2012-07-16,29.48,29.53,29.04,29.44,27900600,29.01
2012-07-13,28.76,29.48,28.72,29.39,39085000,28.96
2012-07-12,29.15,29.18,28.54,28.63,63523600,28.21
