Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,50.46,50.65,49.61,50.25,4408500,50.25
2013-01-31,49.0,50.28,48.75,49.99,6160600,49.99
2013-01-30,49.01,49.58,48.93,49.18,3044300,49.18
2013-01-29,49.11,49.59,48.87,49.19,3481200,49.19
2013-01-28,49.6,49.98,49.23,49.53,3152300,49.53
2013-01-25,49.37,49.99,49.06,49.66,5550000,49.66
2013-01-24,47.0,49.89,46.78,48.85,10914600,48.85
2013-01-23,48.0,48.19,47.14,47.65,8149300,47.65
2013-01-22,48.31,48.47,47.51,47.95,5833600,47.95
2013-01-18,48.61,49.09,48.03,48.46,6392100,48.46
2013-01-17,47.42,48.59,47.11,48.39,6826500,48.39
2013-01-16,46.81,47.46,46.77,47.07,3832500,47.07
2013-01-15,46.51,47.11,46.21,47.03,4708800,47.03
2013-01-14,46.42,47.12,46.15,46.95,4529500,46.95
2013-01-11,45.67,46.97,45.4,46.53,6160800,46.53
2013-01-10,45.63,45.97,45.11,45.6,2668100,45.6
2013-01-09,45.19,45.65,45.06,45.31,2668500,45.31
2013-01-08,45.37,45.65,44.5,45.11,3921900,45.11
2013-01-07,45.37,46.21,44.99,45.29,3624700,45.29
2013-01-04,44.86,45.8,44.3,45.46,4648800,45.46
2013-01-03,44.78,45.8,44.49,44.68,3778200,44.68
2013-01-02,44.55,45.89,44.37,44.74,5086100,44.74
2012-12-31,42.57,43.74,42.3,43.5,3292600,43.5
2012-12-28,43.03,43.29,42.58,42.68,2062500,42.68
2012-12-27,43.61,43.64,42.54,43.22,3086300,43.22
2012-12-26,44.01,44.58,43.32,43.57,2332300,43.57
2012-12-24,44.09,44.45,43.7,44.18,1145600,44.18
2012-12-21,43.85,44.97,43.49,44.32,6222500,44.32
2012-12-20,43.82,44.5,43.42,44.23,3532300,44.23
2012-12-19,44.01,44.6,43.72,43.86,3682800,43.86
2012-12-18,43.05,44.09,43.0,43.92,4691900,43.92
2012-12-17,42.84,43.44,42.22,42.67,3380300,42.67
2012-12-14,42.88,43.37,42.2,42.67,4885900,42.67
2012-12-13,43.16,44.12,42.93,43.17,3725000,43.17
2012-12-12,43.22,43.54,43.08,43.28,2843600,43.28
2012-12-11,43.12,43.75,42.88,43.1,4330400,43.1
2012-12-10,42.06,43.33,42.06,42.79,5447200,42.79
2012-12-07,41.52,42.45,41.31,42.25,6185500,42.25
2012-12-06,39.78,41.42,39.7,41.32,5704500,41.32
2012-12-05,40.26,40.41,39.46,39.8,3818600,39.8
2012-12-04,39.6,40.42,39.4,40.3,4162200,40.3
2012-12-03,39.31,39.93,39.06,39.53,4412000,39.53
